Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.49819
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.3288673
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.857401
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.340423
Andorra,AND,Rule of Law: Estimate,RL.EST,1.577925
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.08732
Anguilla,AIA,Rule of Law: Estimate,RL.EST,-0.0845851
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.5088418
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.3936059
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.1191296
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.261745
Australia,AUS,Rule of Law: Estimate,RL.EST,1.755521
Austria,AUT,Rule of Law: Estimate,RL.EST,1.814967
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.5198614
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.2603121
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.4563805
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.6634919
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.7951232
Belarus,BLR,Rule of Law: Estimate,RL.EST,-0.7160393
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.390965
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.8637331
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.6085925
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.8654205
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.4935009
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.200557
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.2167296
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.5337256
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.1572228
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.5616942
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.0614716
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.4412792
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.460237
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.3474432
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-1.063662
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.036001
Canada,CAN,Rule of Law: Estimate,RL.EST,1.841111
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,0.7974365
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.816499
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.37793
Chile,CHL,Rule of Law: Estimate,RL.EST,1.129269
China,CHN,Rule of Law: Estimate,RL.EST,-0.3344146
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.2787975
Comoros,COM,Rule of Law: Estimate,RL.EST,-0.9985093
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,-1.618508
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,-1.095594
Cook Islands,COK,Rule of Law: Estimate,RL.EST,..
Costa Rica,CRI,Rule of Law: Estimate,RL.EST,0.4660427
Cote d'Ivoire,CIV,Rule of Law: Estimate,RL.EST,-0.6445513
Croatia,HRV,Rule of Law: Estimate,RL.EST,0.4091761
Cuba,CUB,Rule of Law: Estimate,RL.EST,-0.4423624
Cyprus,CYP,Rule of Law: Estimate,RL.EST,0.721344
Czech Republic,CZE,Rule of Law: Estimate,RL.EST,1.035502
Denmark,DNK,Rule of Law: Estimate,RL.EST,1.912385
Djibouti,DJI,Rule of Law: Estimate,RL.EST,-0.9759274
Dominica,DMA,Rule of Law: Estimate,RL.EST,0.6063735
Dominican Republic,DOM,Rule of Law: Estimate,RL.EST,-0.3951495
Ecuador,ECU,Rule of Law: Estimate,RL.EST,-0.7612534
"Egypt, Arab Rep.",EGY,Rule of Law: Estimate,RL.EST,-0.5173006
El Salvador,SLV,Rule of Law: Estimate,RL.EST,-0.7095168
Equatorial Guinea,GNQ,Rule of Law: Estimate,RL.EST,-1.515851
Eritrea,ERI,Rule of Law: Estimate,RL.EST,-1.625062
Estonia,EST,Rule of Law: Estimate,RL.EST,1.226358
Eswatini,SWZ,Rule of Law: Estimate,RL.EST,-0.3685166
Ethiopia,ETH,Rule of Law: Estimate,RL.EST,-0.4923488
Fiji,FJI,Rule of Law: Estimate,RL.EST,-0.2744702
Finland,FIN,Rule of Law: Estimate,RL.EST,2.015214
France,FRA,Rule of Law: Estimate,RL.EST,1.413082
French Guiana,GUF,Rule of Law: Estimate,RL.EST,1.308368
Gabon,GAB,Rule of Law: Estimate,RL.EST,-0.6045521
"Gambia, The",GMB,Rule of Law: Estimate,RL.EST,-0.7744681
Georgia,GEO,Rule of Law: Estimate,RL.EST,0.383661
Germany,DEU,Rule of Law: Estimate,RL.EST,1.622016
Ghana,GHA,Rule of Law: Estimate,RL.EST,0.0487858
Greece,GRC,Rule of Law: Estimate,RL.EST,0.1073458
Greenland,GRL,Rule of Law: Estimate,RL.EST,1.7236
Grenada,GRD,Rule of Law: Estimate,RL.EST,0.5689649
Guam,GUM,Rule of Law: Estimate,RL.EST,1.102922
Guatemala,GTM,Rule of Law: Estimate,RL.EST,-1.019842
Guinea,GIN,Rule of Law: Estimate,RL.EST,-1.216068
Guinea-Bissau,GNB,Rule of Law: Estimate,RL.EST,-1.486802
Guyana,GUY,Rule of Law: Estimate,RL.EST,-0.3091136
Haiti,HTI,Rule of Law: Estimate,RL.EST,-1.001997
Honduras,HND,Rule of Law: Estimate,RL.EST,-1.118705
"Hong Kong SAR, China",HKG,Rule of Law: Estimate,RL.EST,1.722853
Hungary,HUN,Rule of Law: Estimate,RL.EST,0.4230584
Iceland,ISL,Rule of Law: Estimate,RL.EST,1.519545
India,IND,Rule of Law: Estimate,RL.EST,-0.0288772
Indonesia,IDN,Rule of Law: Estimate,RL.EST,-0.3447512
"Iran, Islamic Rep.",IRN,Rule of Law: Estimate,RL.EST,-0.6790152
Iraq,IRQ,Rule of Law: Estimate,RL.EST,-1.625595
Ireland,IRL,Rule of Law: Estimate,RL.EST,1.517244
Israel,ISR,Rule of Law: Estimate,RL.EST,1.072176
Italy,ITA,Rule of Law: Estimate,RL.EST,0.3291599
